date,adj_close,close,high,low,open,volume
2020-01-02,36.25,36.25,39.0,33.75,37.5,1307
2020-01-03,37.0,37.0,42.25,33.75,33.75,954
2020-01-06,35.5,35.5,37.25,33.75,36.5,672
2020-01-07,33.75,33.75,37.0,30.25,35.0,548
2020-01-08,35.75,35.75,37.5,32.5,32.75,634
2020-01-09,35.75,35.75,41.25,35.0,41.25,422
2020-01-10,40.0,40.0,42.5,37.5,42.5,525
2020-01-13,45.0,45.0,45.0,37.5,40.0,538
2020-01-14,40.0,40.0,45.0,40.0,45.0,505
2020-01-15,45.0,45.0,47.5,41.5,41.5,1029
2020-01-16,41.25,41.25,45.0,37.5,45.0,832
2020-01-17,39.75,39.75,42.5,35.0,42.0,976
2020-01-21,37.5,37.5,39.0,35.0,37.0,208
2020-01-22,37.5,37.5,39.75,36.5,38.25,160
2020-01-23,36.25,36.25,37.5,35.0,36.75,385
2020-01-24,35.0,35.0,36.25,33.0,35.75,926
2020-01-27,41.25,41.25,44.75,33.75,33.75,8470
2020-01-28,41.5,41.5,45.5,41.25,42.5,2688
2020-01-29,41.25,41.25,45.0,40.0,45.0,1731
2020-01-30,42.5,42.5,43.5,40.0,40.0,685
2020-01-31,42.5,42.5,45.0,41.25,45.0,650
2020-02-03,42.25,42.25,45.0,40.0,45.0,488
2020-02-04,45.0,45.0,45.0,40.0,40.5,1382
2020-02-05,42.75,42.75,50.0,41.25,45.0,1528
2020-02-06,40.75,40.75,42.0,40.75,42.0,435
2020-02-07,40.0,40.0,43.75,39.5,40.75,2896
2020-02-10,38.75,38.75,42.5,37.5,40.0,2384
2020-02-11,35.0,35.0,40.75,35.0,37.5,1594
2020-02-12,28.75,28.75,37.5,28.75,37.5,1836
2020-02-13,19.75,19.75,29.75,12.5,28.75,14308
2020-02-14,24.5,24.5,25.0,17.75,19.75,2850
2020-02-18,22.0,22.0,27.5,20.25,24.75,1664
2020-02-19,22.5,22.5,22.5,20.0,20.0,874
2020-02-20,21.5,21.5,22.5,20.0,20.0,536
2020-02-21,23.25,23.25,24.5,20.5,20.5,578
2020-02-24,22.0,22.0,25.0,20.0,23.25,914
2020-02-25,23.0,23.0,23.75,20.0,21.5,469
2020-02-26,22.5,22.5,24.25,20.0,22.5,588
2020-02-27,22.0,22.0,25.0,21.25,22.5,409
2020-02-28,23.75,23.75,25.0,22.25,22.25,318
2020-03-02,22.5,22.5,25.0,21.5,22.5,615
2020-03-03,22.5,22.5,23.25,21.25,21.25,655
2020-03-04,22.5,22.5,22.5,20.0,22.5,615
2020-03-05,22.5,22.5,27.25,20.75,20.75,444
2020-03-06,21.25,21.25,22.5,20.0,22.5,845
2020-03-09,21.25,21.25,25.0,20.0,22.0,647
2020-03-10,21.25,21.25,27.5,20.0,22.5,540
2020-03-11,21.25,21.25,25.0,20.75,24.0,368
2020-03-12,17.5,17.5,24.5,17.5,21.25,1042
2020-03-13,22.5,22.5,22.5,17.5,17.5,284
2020-03-16,18.75,18.75,22.5,17.5,22.5,825
2020-03-17,21.25,21.25,21.25,18.75,18.75,922
2020-03-18,20.0,20.0,21.25,17.5,20.25,474
2020-03-19,17.75,17.75,22.5,17.5,22.5,94
2020-03-20,20.25,20.25,22.5,17.5,18.75,682
2020-03-23,17.75,17.75,22.0,17.75,20.0,1026
2020-03-24,18.5,18.5,23.75,17.75,22.5,429
2020-03-25,18.75,18.75,19.75,17.5,18.5,882
2020-03-26,19.0,19.0,20.0,18.75,19.25,308
2020-03-27,17.75,17.75,20.25,17.5,19.75,294
2020-03-30,19.5,19.5,21.25,18.25,20.25,333
2020-03-31,18.75,18.75,19.75,18.75,19.75,41
2020-04-01,18.75,18.75,20.0,18.75,18.75,346
2020-04-02,17.75,17.75,20.0,17.75,19.0,146
2020-04-03,18.0,18.0,18.75,17.75,18.75,170
2020-04-06,18.0,18.0,21.25,17.75,17.75,324
2020-04-07,19.5,19.5,20.0,17.75,18.25,322
2020-04-08,17.75,17.75,19.5,17.5,18.75,418
2020-04-09,20.5,20.5,21.25,17.5,17.5,236
2020-04-13,19.5,19.5,20.5,19.25,20.5,154
2020-04-14,18.75,18.75,20.5,18.75,19.25,644
2020-04-15,17.75,17.75,21.25,17.75,18.75,313
2020-04-16,19.0,19.0,25.0,17.75,17.75,453
2020-04-17,22.0,22.0,22.5,20.0,22.25,377
2020-04-20,21.75,21.75,22.5,21.75,22.5,281
2020-04-21,22.5,22.5,22.5,22.0,22.5,315
2020-04-22,22.5,22.5,22.5,21.25,22.0,274
2020-04-23,25.0,25.0,25.0,21.25,21.75,203
2020-04-24,22.75,22.75,24.0,21.5,21.5,192
2020-04-27,21.5,21.5,24.0,21.5,22.5,526
2020-04-28,22.5,22.5,23.25,21.25,22.5,683
2020-04-29,21.25,21.25,22.5,21.25,22.5,190
2020-04-30,25.0,25.0,25.0,20.0,21.5,517
2020-05-01,22.5,22.5,25.0,22.5,23.25,95
2020-05-04,21.75,21.75,24.75,20.5,24.75,166
2020-05-05,21.25,21.25,22.5,20.5,20.5,249
2020-05-06,21.5,21.5,22.25,20.75,20.75,220
2020-05-07,20.5,20.5,21.5,20.5,21.0,584
2020-05-08,20.0,20.0,22.5,20.0,20.5,502
2020-05-11,20.0,20.0,22.5,20.0,20.0,480
2020-05-12,20.0,20.0,22.0,20.0,22.0,367
2020-05-13,22.5,22.5,22.5,20.0,22.5,574
2020-05-14,20.0,20.0,22.25,20.0,20.0,131
2020-05-15,21.25,21.25,25.0,20.0,21.25,84
2020-05-18,22.5,22.5,25.0,18.5,18.5,397
2020-05-19,20.0,20.0,25.0,20.0,25.0,149
2020-05-20,22.25,22.25,24.25,20.0,20.0,180
2020-05-21,24.75,24.75,24.75,20.0,21.25,892
2020-05-22,24.0,24.0,24.75,20.0,24.75,690
2020-05-26,20.0,20.0,25.0,19.5,25.0,1157
2020-05-27,20.0,20.0,20.75,19.5,19.5,380
2020-05-28,24.75,24.75,24.75,18.25,19.0,875
2020-05-29,24.75,24.75,25.0,18.75,25.0,730
2020-06-01,21.5,21.5,25.0,20.25,25.0,328
2020-06-02,24.25,24.25,25.0,20.25,22.5,1340
2020-06-03,23.5,23.5,23.75,18.75,18.75,780
2020-06-04,31.25,31.25,40.0,24.0,24.75,5094
2020-06-05,28.0,28.0,32.75,26.75,32.75,1001
2020-06-08,30.0,30.0,31.25,25.0,29.75,1218
2020-06-09,28.75,28.75,32.5,25.0,31.25,315
2020-06-10,30.0,30.0,30.0,27.5,30.0,85
2020-06-11,26.75,26.75,30.0,26.25,30.0,338
2020-06-12,28.25,28.25,31.0,23.75,23.75,410
2020-06-15,28.75,28.75,30.0,27.25,27.75,155
2020-06-16,27.5,27.5,28.75,27.5,27.5,173
2020-06-17,26.25,26.25,28.25,26.25,26.75,261
2020-06-18,29.75,29.75,30.0,25.25,28.75,636
2020-06-19,29.5,29.5,29.75,25.25,25.25,194
2020-06-22,32.5,32.5,32.5,25.75,29.5,681
2020-06-23,31.25,31.25,39.75,31.25,31.25,805
2020-06-24,31.75,31.75,33.75,30.75,31.25,1422
2020-06-25,33.75,33.75,36.25,30.25,31.5,954
2020-06-26,36.25,36.25,38.25,34.0,35.75,817
2020-06-29,46.75,46.75,48.75,36.5,37.25,8084
2020-06-30,39.25,39.25,47.5,34.5,47.5,2400
2020-07-01,38.75,38.75,40.0,35.25,40.0,652
2020-07-02,37.75,37.75,39.75,36.25,39.0,427
2020-07-06,39.25,39.25,40.0,37.0,37.0,405
2020-07-07,39.5,39.5,39.75,37.5,37.5,312
2020-07-08,38.25,38.25,40.0,37.75,40.0,150
2020-07-09,36.25,36.25,40.0,35.25,40.0,308
2020-07-10,33.25,33.25,38.25,31.5,38.25,890
2020-07-13,28.75,28.75,36.5,27.5,31.5,1033
2020-07-14,29.0,29.0,30.0,27.5,28.5,327
2020-07-15,31.25,31.25,43.75,28.25,28.25,807
2020-07-16,30.0,30.0,31.75,29.75,31.75,142
2020-07-17,31.25,31.25,31.75,26.5,26.5,359
2020-07-20,31.25,31.25,31.75,27.75,29.0,341
2020-07-21,31.0,31.0,31.5,29.0,31.5,594
2020-07-22,31.0,31.0,31.5,30.0,31.5,376
2020-07-23,29.25,29.25,31.0,29.0,30.25,261
2020-07-24,28.75,28.75,30.0,27.5,29.75,327
2020-07-27,25.75,25.75,28.75,24.25,28.0,940
2020-07-28,22.5,22.5,27.5,21.0,25.0,1151
2020-07-29,21.75,21.75,25.0,21.0,22.5,1046
2020-07-30,20.0,20.0,22.5,19.75,21.0,1818
2020-07-31,12.75,12.75,18.0,12.75,18.0,14560
2020-08-03,12.5,12.5,14.75,12.25,12.5,11718
2020-08-04,12.5,12.5,16.25,12.5,16.25,8467
2020-08-05,11.0,11.0,13.75,10.25,13.75,6955
2020-08-06,10.25,10.25,12.25,10.25,12.25,4056
2020-08-07,11.25,11.25,13.25,10.25,12.5,3694
2020-08-10,11.25,11.25,13.75,10.75,11.75,14145
2020-08-11,12.5,12.5,13.5,10.75,12.25,12097
2020-08-12,12.75,12.75,16.0,11.5,11.5,14979
2020-08-13,12.5,12.5,14.25,11.5,12.5,10419
2020-08-14,12.5,12.5,13.75,11.75,12.75,8340
2020-08-17,13.25,13.25,13.75,11.5,13.75,6323
2020-08-18,12.5,12.5,13.25,10.75,12.5,2716
2020-08-19,12.5,12.5,13.0,12.25,13.0,1852
2020-08-20,12.5,12.5,13.0,12.25,12.5,1356
2020-08-21,12.5,12.5,13.75,12.25,12.75,18369
2020-08-24,12.5,12.5,13.25,12.0,12.25,1515
2020-08-25,12.75,12.75,12.75,12.0,12.0,858
2020-08-26,12.25,12.25,12.75,12.0,12.75,761
2020-08-27,11.75,11.75,12.5,11.25,12.5,1196
2020-08-28,11.0,11.0,12.5,10.75,11.75,2246
2020-08-31,11.25,11.25,12.5,10.75,10.75,1470
2020-09-01,12.25,12.25,12.75,10.75,12.75,4004
2020-09-02,11.25,11.25,12.5,10.75,11.25,611
2020-09-03,11.0,11.0,12.5,10.75,12.5,4229
2020-09-04,10.75,10.75,11.25,10.75,11.25,954
2020-09-08,10.5,10.5,11.5,10.5,11.5,1094
2020-09-09,10.5,10.5,12.0,10.0,10.75,5355
2020-09-10,10.75,10.75,12.0,10.25,10.25,6637
2020-09-11,11.25,11.25,12.5,10.0,11.25,3210
2020-09-14,10.5,10.5,11.25,10.0,11.25,1591
2020-09-15,10.25,10.25,10.75,10.0,10.75,1423
2020-09-16,10.5,10.5,11.25,10.0,10.25,1801
2020-09-17,10.25,10.25,11.0,10.0,10.5,635
2020-09-18,10.25,10.25,10.5,10.0,10.25,914
2020-09-21,10.25,10.25,10.5,10.0,10.0,3286
2020-09-22,10.0,10.0,10.25,10.0,10.25,282
2020-09-23,10.0,10.0,11.0,9.75,10.0,1292
2020-09-24,9.5,9.5,10.75,9.25,10.75,2378
2020-09-25,9.25,9.25,10.0,9.25,10.0,1167
2020-09-28,9.75,9.75,10.25,9.0,9.25,4517
2020-09-29,9.25,9.25,10.0,9.0,10.0,1084
2020-09-30,10.5,10.5,10.5,9.0,9.0,1554
2020-10-01,10.0,10.0,10.75,9.0,10.75,1126
2020-10-02,9.75,9.75,10.0,9.75,10.0,256
2020-10-05,10.0,10.0,10.0,9.0,9.75,418
2020-10-06,10.5,10.5,10.75,9.0,9.25,774
2020-10-07,10.25,10.25,10.5,9.5,10.5,984
2020-10-08,9.5,9.5,10.5,9.25,10.5,3226
2020-10-09,10.0,10.0,10.5,9.0,9.25,431
2020-10-12,10.75,10.75,12.25,9.0,10.5,4281
2020-10-13,9.75,9.75,11.25,9.5,11.25,1364
2020-10-14,9.75,9.75,11.25,9.5,9.75,1519
2020-10-15,10.5,10.5,10.5,9.75,9.75,588
2020-10-16,10.0,10.0,12.0,9.75,9.75,977
2020-10-19,9.75,9.75,11.25,9.5,11.0,867
2020-10-20,9.75,9.75,12.0,9.5,11.0,904
2020-10-21,10.25,10.25,12.0,9.75,12.0,180
2020-10-22,11.0,11.0,11.0,9.5,10.5,1092
2020-10-23,9.25,9.25,11.0,9.25,11.0,1114
2020-10-26,9.0,9.0,10.5,9.0,9.25,740
2020-10-27,9.25,9.25,9.25,9.0,9.25,257
2020-10-28,9.0,9.0,10.0,9.0,9.0,488
2020-10-29,10.0,10.0,10.25,9.0,9.0,2049
2020-10-30,9.5,9.5,10.0,9.0,10.0,423
2020-11-02,9.5,9.5,10.0,9.0,10.0,374
2020-11-03,9.75,9.75,9.75,9.25,9.5,184
2020-11-04,9.5,9.5,9.5,9.25,9.5,711
2020-11-05,9.75,9.75,9.75,9.5,9.75,401
2020-11-06,9.75,9.75,10.25,9.5,9.5,634
2020-11-09,9.5,9.5,11.5,8.5,9.5,2418
2020-11-10,9.0,9.0,11.25,9.0,11.25,675
2020-11-11,9.25,9.25,9.5,9.0,9.0,518
2020-11-12,9.0,9.0,9.25,9.0,9.0,534
2020-11-13,9.25,9.25,9.25,9.25,9.25,469
2020-11-16,9.75,9.75,13.75,8.75,9.0,18708
2020-11-17,9.5,9.5,10.0,9.0,9.75,1704
2020-11-18,8.75,8.75,9.75,8.5,9.75,4514
2020-11-19,8.5,8.5,9.5,8.25,8.75,2001
2020-11-20,8.75,8.75,9.5,8.25,8.5,3422
2020-11-23,8.25,8.25,9.0,8.0,8.25,820
2020-11-24,8.25,8.25,9.0,8.0,8.0,1251
2020-11-25,8.25,8.25,8.5,8.0,8.25,1847
2020-11-27,7.75,7.75,8.25,7.75,8.0,1816
2020-11-30,7.75,7.75,8.5,7.5,7.5,1366
2020-12-01,7.5,7.5,8.25,7.25,7.5,5384
2020-12-02,7.5,7.5,8.75,6.75,7.25,18554
2020-12-03,7.75,7.75,8.75,7.25,8.75,12651
2020-12-04,8.0,8.0,8.0,7.5,7.75,6127
2020-12-07,9.5,9.5,10.0,7.75,7.75,15131
2020-12-08,8.25,8.25,10.0,7.5,9.5,7842
2020-12-09,7.5,7.5,8.25,6.25,6.75,9367
2020-12-10,7.5,7.5,8.0,7.0,7.5,4357
2020-12-11,7.5,7.5,9.5,7.25,7.25,21644
2020-12-14,8.25,8.25,11.5,7.5,7.5,24147
2020-12-15,8.5,8.5,9.5,7.75,9.5,7421
2020-12-16,10.0,10.0,11.5,8.25,10.0,37388
2020-12-17,11.0,11.0,12.25,9.25,12.25,38516
2020-12-18,13.75,13.75,15.0,10.5,11.25,28459
2020-12-21,11.25,11.25,15.0,10.5,15.0,44902
2020-12-22,10.5,10.5,14.75,10.0,14.75,15472
2020-12-23,11.25,11.25,11.5,9.75,10.0,11536
2020-12-24,11.5,11.5,13.0,10.75,11.5,10083
2020-12-28,10.25,10.25,13.75,8.75,12.5,15526
2020-12-29,10.0,10.0,11.0,8.75,10.25,9974
2020-12-30,10.0,10.0,10.5,9.0,10.0,10677
2020-12-31,10.0,10.0,10.5,9.0,10.25,6596
2021-01-04,10.0,10.0,11.5,9.75,10.0,12471
2021-01-05,10.5,10.5,12.5,9.75,11.0,28692
2021-01-06,10.0,10.0,11.75,10.0,11.0,36557
2021-01-07,10.0,10.0,12.5,10.0,10.25,31412
2021-01-08,10.25,10.25,11.75,10.0,11.75,20177
2021-01-11,11.5,11.5,12.0,10.0,10.75,37360
2021-01-12,15.75,15.75,16.0,11.5,11.5,128082
2021-01-13,25.0,25.0,30.0,14.75,17.25,196440
2021-01-14,22.25,22.25,27.5,18.25,25.5,50424
2021-01-15,22.5,22.5,25.0,22.0,23.25,27851
2021-01-19,27.5,27.5,61.5,20.0,30.0,31087
2021-01-20,26.25,26.25,32.75,26.25,32.75,19397
2021-01-21,23.5,23.5,29.5,22.75,25.0,17755
2021-01-22,22.5,22.5,25.0,20.25,25.0,22588
2021-01-25,21.75,21.75,25.0,20.5,22.75,29687
2021-01-26,21.0,21.0,25.0,20.0,21.75,23603
2021-01-27,19.75,19.75,21.75,19.25,20.25,18367
2021-01-28,17.5,17.5,21.25,17.0,20.25,19376
2021-01-29,18.75,18.75,20.75,17.0,17.5,19220
2021-02-01,20.75,20.75,22.5,18.75,18.75,13778
2021-02-02,29.25,29.25,32.0,22.5,23.0,54761
2021-02-03,32.0,32.0,35.0,30.0,35.0,30082
2021-02-04,32.5,32.5,37.5,31.0,37.5,23402
2021-02-05,31.0,31.0,35.0,30.0,34.5,18830
2021-02-08,32.25,32.25,33.75,30.75,31.75,20827
2021-02-09,30.0,30.0,33.25,28.0,32.25,28819
2021-02-10,30.0,30.0,33.0,28.75,29.75,22767
2021-02-11,32.5,32.5,32.5,28.25,31.75,16853
2021-02-12,30.0,30.0,32.5,29.0,32.25,17093
2021-02-16,32.5,32.5,34.25,30.0,33.25,22644
2021-02-17,32.0,32.0,35.75,32.0,33.0,22035
2021-02-18,32.5,32.5,33.25,30.5,32.5,15387
2021-02-19,32.5,32.5,34.5,30.75,33.75,19107
2021-02-22,31.25,31.25,33.75,30.0,31.75,20074
2021-02-23,29.5,29.5,33.25,27.5,33.25,14108
2021-02-24,30.0,30.0,31.25,27.75,30.75,8816
2021-02-25,29.0,29.0,31.25,28.75,31.0,8748
2021-02-26,27.5,27.5,29.75,25.0,29.0,11923
2021-03-01,21.5,21.5,27.5,21.25,27.5,27931
2021-03-02,22.5,22.5,26.25,22.0,24.5,9866
2021-03-03,23.25,23.25,26.25,22.5,25.0,8595
2021-03-04,21.5,21.5,24.75,21.0,24.5,15409
2021-03-05,23.0,23.0,25.0,22.0,22.0,8045
2021-03-08,26.5,26.5,27.5,23.25,23.25,9471
2021-03-09,33.5,33.5,36.25,27.0,30.0,71296
2021-03-10,32.0,32.0,37.5,30.5,37.5,23077
2021-03-11,32.0,32.0,32.75,31.25,32.5,11358
2021-03-12,29.5,29.5,33.75,28.75,32.75,10692
2021-03-15,29.0,29.0,32.5,27.5,31.25,11863
2021-03-16,31.0,31.0,32.5,29.5,32.5,9171
2021-03-17,31.25,31.25,31.25,30.0,30.25,4944
2021-03-18,31.25,31.25,31.5,30.25,31.25,4248
2021-03-19,31.0,31.0,31.75,30.75,31.25,6706
2021-03-22,33.0,33.0,34.25,30.0,31.0,25279
2021-03-23,31.25,31.25,33.0,30.0,32.75,11685
2021-03-24,29.25,29.25,31.25,29.25,31.25,15407
2021-03-25,28.75,28.75,32.75,27.75,29.5,6340
2021-03-26,30.0,30.0,31.25,29.25,30.0,5104
2021-03-29,28.75,28.75,32.5,28.75,31.25,7610
2021-03-30,29.25,29.25,31.25,27.5,31.25,4446
2021-03-31,29.75,29.75,29.75,28.5,29.5,1984
2021-04-01,29.0,29.0,30.0,28.75,29.75,3815
2021-04-05,30.0,30.0,30.0,28.75,29.0,4896
2021-04-06,30.0,30.0,30.25,29.25,30.0,4480
2021-04-07,30.0,30.0,31.25,29.5,30.0,2834
2021-04-08,30.25,30.25,30.5,28.75,30.0,3769
2021-04-09,30.0,30.0,30.75,29.25,30.0,3775
2021-04-12,28.75,28.75,30.0,27.5,30.0,6166
2021-04-13,28.75,28.75,29.5,27.5,28.25,4045
2021-04-14,30.25,30.25,31.25,29.75,30.0,6977
2021-04-15,30.0,30.0,30.75,29.0,30.75,7956
2021-04-16,30.0,30.0,30.5,29.0,30.5,6854
2021-04-19,29.25,29.25,30.25,28.0,30.0,6175
2021-04-20,29.75,29.75,30.0,28.75,29.75,5917
2021-04-21,29.5,29.5,30.0,29.0,30.0,4735
2021-04-22,29.75,29.75,30.5,29.5,30.0,6074
2021-04-23,29.5,29.5,30.0,29.5,30.0,3458
2021-04-26,29.5,29.5,30.0,28.5,29.75,6642
2021-04-27,29.75,29.75,29.75,28.75,29.5,2888
2021-04-28,30.0,30.0,30.25,29.25,29.75,6604
2021-04-29,31.0,31.0,31.25,29.75,30.25,8203
2021-04-30,30.25,30.25,31.25,29.75,31.0,9952
2021-05-03,29.75,29.75,30.75,29.0,30.75,5076
2021-05-04,28.5,28.5,29.75,26.25,29.75,9070
